ID	l [deg]	b [deg]	Area [pc^2]	Distance [kpc]	Flag	Mass [M_o]	# of distance points
1   	39.967499999998005	-0.926166666666574     	4.355247278673281    	3.29	A	189.86210369095934 	3 
2   	39.96683333333134 	-0.9078333333332426    	0.28140216068539087  	3.24	A	11.256585363696658 	1 
3   	39.90216666666468 	-0.8974999999999103    	4.2720559499423825   	3.27	A	128.18643516070452 	1 
4   	39.862499999998015	-0.859499999999914     	2.163246952823327    	3.25	A	81.32131477327889  	1 
5   	39.92816666666467 	-0.15883333333331745   	6.264497386523676    	9.21	A	257.6910299530621  	1 
6   	39.89683333333135 	-0.07883333333332546   	31.269235468533466   	8.14	A	542.5685610601474  	1 
7   	39.89349999999801 	-0.43349999999995664   	1.8784439654167446   	8.35	A	313.9659525938184  	1 
8   	39.79883333333135 	-0.22216666666664445   	60.749117765026625   	9.14	A	1007.7178972933854 	2 
9   	39.74749999999803 	-0.4768333333332857    	33.670203787745805   	9.33	A	622.1475895043583  	1 
10  	39.735166666664696	-0.557166666666611     	4.9810310485070275   	7.12	B	186.140602807357   	1 
11  	39.71649999999803 	-0.5344999999999466    	0.2043322070057275   	4.22	B	28.690810486623732 	1 
12  	39.71549999999803 	-0.5441666666666123    	0.43283596873428576  	8.5 	B	55.16712312670655  	1 
13  	39.69249999999803 	-0.22249999999997772   	23.935702908624638   	9.45	A	515.9563445966546  	1 
14  	39.6201666666647  	-0.6234999999999375    	23.90910837617524    	9.08	B	574.0854964256246  	1 
15  	39.6011666666647  	-0.5471666666666118    	0.5058527236419011   	7.28	A	5.569405872707276  	1 
16  	39.64149999999803 	-0.3641666666666302    	30.794820684161675   	9.28	A	2086.3316545966463 	1 
17  	39.58016666666471 	-0.17849999999998215   	10.028065286294256   	9.51	A	647.1403915429458  	1 
18  	39.48116666666471 	-0.17949999999998206   	81.37383795302254    	9.62	A	5757.794735902809  	2 
19  	39.454499999998056	-0.9648333333332367    	1.3111275966698497   	3.26	A	41.34562124174751  	1 
20  	39.44049999999806 	-0.9771666666665688    	0.12999544327902923  	3.28	A	3.554747900014837  	1 
21  	39.38949999999806 	-0.9011666666665764    	1.292763796441392    	3.27	A	39.93221164759765  	2 
22  	39.37416666666473 	-0.18183333333331514   	11.656448889653404   	3.77	A	390.474603341044   	1 
23  	39.31116666666474 	-0.21383333333331195   	1.6387314604939978   	9.88	B	93.5838157231738   	1 
24  	39.30849999999807 	-0.19949999999998003   	0.3469620740809529   	4.29	B	53.21085700941418  	1 
25  	39.27816666666474 	-0.19849999999998014   	0.8079170737576229   	4.29	B	110.2166701327064  	1 
26  	39.301833333331395	-0.5884999999999412    	10.583077727606872   	8.93	A	1238.40802557337   	1 
27  	39.297499999998074	-0.26716666666663996   	2.571188926008098    	8.63	A	229.13183461076528 	1 
28  	39.26816666666473 	-0.5898333333332744    	3.4546233421491888   	3.85	A	367.1675008280364  	1 
29  	39.16249999999808 	-0.8108333333332522    	24.578072992042085   	7.54	B	275.7841898888097  	1 
30  	39.13583333333142 	-0.8684999999999131    	0.22018943910299063  	0.91	B	2.736892389367265  	1 
31  	39.08283333333142 	-0.8451666666665821    	3.1400975266235887   	4.53	B	84.41677852015683  	1 
32  	39.063833333331424	-0.9631666666665702    	1.3460537506296206   	4.53	B	13.835212486107745 	1 
33  	39.062499999998096	-0.8011666666665865    	4.994572524824852    	5.49	A	38.44320960437179  	1 
34  	39.01483333333143 	-0.9678333333332365    	50.79129044584391    	8.46	B	1044.085591332039  	1 
35  	39.04483333333143 	-0.882833333333245     	2.14687933085457     	4.53	B	108.87159782287337 	1 
36  	39.047833333331425	-0.8971666666665769    	0.12896239760793893  	8.56	B	5.3528860104879605 	1 
37  	39.035499999998095	-0.8484999999999151    	5.186015681717819    	8.69	B	76.59393155141076  	1 
38  	39.0284999999981  	-0.8908333333332442    	4.064758800050715    	8.76	B	190.39785153301523 	1 
39  	39.023499999998094	-0.8188333333332514    	2.89138018892346     	5.42	B	44.466033328485615 	1 
40  	39.01483333333143 	-0.8441666666665821    	1.0877475676348918   	5.42	B	16.854433798985976 	1 
41  	39.0154999999981  	-0.8881666666665777    	1.1312084856930171   	8.58	B	33.216934581238924 	1 
42  	38.97183333333144 	-0.9014999999999098    	9.280930475858492    	8.55	B	147.4919694774103  	1 
43  	39.10149999999809 	-0.32283333333330105   	59.53160438149301    	9.8 	A	1557.3789945925953 	3 
44  	38.9844999999981  	-0.2581666666666408    	199.1676437045655    	9.71	B	4302.959343634734  	1 
45  	39.10583333333142 	-0.2538333333333079    	19.274138238497656   	9.99	A	361.66485906845577 	1 
46  	38.9564999999981  	-0.4674999999999532    	47.382681632967575   	2.59	B	2946.9114776575184 	9 
47  	38.9874999999981  	-0.22249999999997772   	2.7287756403958134   	7.86	B	88.88544109089894  	1 
48  	38.90983333333144 	-0.346166666666632     	9.805604213552764    	2.54	B	798.2044515724186  	1 
49  	38.9814999999981  	-0.1584999999999841    	4.851849586973967    	9.67	B	52.63413450812661  	1 
50  	38.9624999999981  	-0.5434999999999456    	1.4153979160772996   	2.59	A	85.29280795214466  	1 
51  	38.93816666666477 	-0.36616666666663      	1.238898711026051    	2.51	A	63.70596635480993  	1 
52  	38.90783333333144 	-0.282833333333305     	5.912768039669119    	7.93	A	133.0589563734256  	1 
53  	38.84916666666478 	-0.4281666666666238    	1.45255270523445     	2.54	B	201.21051603232942 	2 
54  	38.834833333331446	-0.449499999999955     	1.190661276747952    	3.36	B	116.84366993124736 	1 
55  	38.77749999999812 	-0.3024999999999697    	147.5103096203081    	7.7 	B	3300.8751402279763 	1 
56  	38.75416666666479 	-0.3701666666666296    	4.767051391199771    	2.62	A	146.2398065240483  	1 
57  	38.76283333333146 	-0.44783333333328845   	3.517315807156333    	4.0 	A	97.2826378012478   	1 
