ID	l [deg]	b [deg]	Area [pc^2]	Distance [kpc]	Flag	Mass [kg]	# of distance points
1   	39.967499999998005	-0.926166666666574     	0.00043552472786487125	3.29	A	14427211.526587263	3 
2   	39.96683333333134 	-0.9078333333332426    	2.8140216068380352e-05	3.24	A	855363.6294554074 	1 
3   	39.90216666666468 	-0.8974999999999103    	0.0004272055949918284 	3.27	A	9740610.574466674 	1 
4   	39.862499999998015	-0.859499999999914     	0.00021632469528111236	3.25	A	6179431.213740134 	1 
5   	39.92816666666467 	-0.15883333333331745   	0.0006264497386488338 	9.21	A	19581385.2546815  	1 
6   	39.89683333333135 	-0.07883333333332546   	0.0031269235468357063 	8.14	A	41228614.06208867 	1 
7   	39.89349999999801 	-0.43349999999995664   	0.00018784439654061482	8.35	A	23857595.181766517	1 
8   	39.79883333333135 	-0.22216666666664445   	0.006074911776468394  	9.14	A	76574308.30453654 	2 
9   	39.74749999999803 	-0.4768333333332857    	0.0033670203787555873 	9.33	A	47275652.697632894	1 
10  	39.735166666664696	-0.557166666666611     	0.0004981031048478929 	7.12	B	14144422.705646427	1 
11  	39.71649999999803 	-0.5344999999999466    	2.043322070045748e-05 	4.22	B	2180152.7725274987	1 
12  	39.71549999999803 	-0.5441666666666123    	4.328359687318441e-05 	8.5 	B	4192030.6327048144	1 
13  	39.69249999999803 	-0.22249999999997772   	0.002393570290848961  	9.45	A	39206409.16365836 	1 
14  	39.6201666666647  	-0.6234999999999375    	0.002390910837604037  	9.08	B	43623517.96522691 	1 
15  	39.6011666666647  	-0.5471666666666118    	5.058527236390476e-05 	7.28	A	423207.13318205613	1 
16  	39.64149999999803 	-0.3641666666666302    	0.0030794820683987954 	9.28	A	158535840.0140484 	1 
17  	39.58016666666471 	-0.17849999999998215   	0.0010028065286237686 	9.51	A	49174801.78870025 	1 
18  	39.48116666666471 	-0.17949999999998206   	0.008137383795256348  	9.62	A	437522396.34273016	2 
19  	39.454499999998056	-0.9648333333332367    	0.00013111275966624534	3.26	A	3141764.5320299603	1 
20  	39.44049999999806 	-0.9771666666665688    	1.299954432782959e-05 	3.28	A	270117.62158015085	1 
21  	39.38949999999806 	-0.9011666666665764    	0.00012927637964340994	3.27	A	3034362.5871863514	2 
22  	39.37416666666473 	-0.18183333333331514   	0.001165644888958765  	3.77	A	29671322.442161195	1 
23  	39.31116666666474 	-0.21383333333331195   	0.00016387314604847538	9.88	B	7111232.197769446 	1 
24  	39.30849999999807 	-0.19949999999998003   	3.4696207407899565e-05	4.29	B	4043378.192181916 	1 
25  	39.27816666666474 	-0.19849999999998014   	8.079170737530653e-05 	4.29	B	8375126.909732877 	1 
26  	39.301833333331395	-0.5884999999999412    	0.0010583077727547173 	8.93	A	94103953.31051551 	1 
27  	39.297499999998074	-0.26716666666663996   	0.00025711889259935936	8.63	A	17411233.632938664	1 
28  	39.26816666666473 	-0.5898333333332744    	0.0003454623342129701 	3.85	A	27900266.02021013 	1 
29  	39.16249999999808 	-0.8108333333332522    	0.002457807299190344  	7.54	B	20956245.432162162	1 
30  	39.13583333333142 	-0.8684999999999131    	2.2018943910174857e-05	0.91	B	207970.54630333028	1 
31  	39.08283333333142 	-0.8451666666665821    	0.0003140097526605875 	4.53	B	6414648.82368394  	1 
32  	39.063833333331424	-0.9631666666665702    	0.00013460537506220275	4.53	B	1051307.9396679106	1 
33  	39.062499999998096	-0.8011666666665865    	0.0004994572524796677 	5.49	A	2921216.5352701317	1 
34  	39.01483333333143 	-0.9678333333332365    	0.005079129044555741  	8.46	B	79337810.89104483 	1 
35  	39.04483333333143 	-0.882833333333245     	0.000214687933084246  	4.53	B	8272917.7676488785	1 
36  	39.047833333331425	-0.8971666666665769    	1.2896239760721146e-05	8.56	B	406754.256113812  	1 
37  	39.035499999998095	-0.8484999999999151    	0.0005186015681688565 	8.69	B	5820207.564664034 	1 
38  	39.0284999999981  	-0.8908333333332442    	0.0004064758800027785 	8.76	B	14467921.8489317  	1 
39  	39.023499999998094	-0.8188333333332514    	0.00028913801889071493	5.42	B	3378877.9124798467	1 
40  	39.01483333333143 	-0.8441666666665821    	0.00010877475676287558	5.42	B	1280732.0515874545	1 
41  	39.0154999999981  	-0.8881666666665777    	0.00011312084856866357	8.58	B	2524083.174851941 	1 
42  	38.97183333333144 	-0.9014999999999098    	0.0009280930475806139 	8.55	B	11207596.464785587	1 
43  	39.10149999999809 	-0.32283333333330105   	0.0059531604381157215 	9.8 	A	118341868.8893473 	3 
44  	38.9844999999981  	-0.2581666666666408    	0.019916764370344203  	9.71	B	326972594.49927527	1 
45  	39.10583333333142 	-0.2538333333333079    	0.0019274138238388925 	9.99	A	27482132.14790392 	1 
46  	38.9564999999981  	-0.4674999999999532    	0.004738268163270027  	2.59	B	223929443.5897336 	9 
47  	38.9874999999981  	-0.22249999999997772   	0.0002728775640380421 	7.86	B	6754212.848814405 	1 
48  	38.90983333333144 	-0.346166666666632     	0.000980560421349745  	2.54	B	60653833.70576868 	1 
49  	38.9814999999981  	-0.1584999999999841    	0.0004851849586946597 	9.67	B	3999554.2939080317	1 
50  	38.9624999999981  	-0.5434999999999456    	0.00014153979160693147	2.59	A	6481216.409700874 	1 
51  	38.93816666666477 	-0.36616666666663      	0.0001238898711019062 	2.51	A	4840878.902313871 	1 
52  	38.90783333333144 	-0.282833333333305     	0.0005912768039635765 	7.93	A	10110862.946251899	1 
53  	38.84916666666478 	-0.4281666666666238    	0.0001452552705226256 	2.54	B	15289552.889908388	2 
54  	38.834833333331446	-0.449499999999955     	0.00011906612767412351	3.36	B	8878698.322993025 	1 
55  	38.77749999999812 	-0.3024999999999697    	0.014751030961947601  	7.7 	B	250826378.43536144	1 
56  	38.75416666666479 	-0.3701666666666296    	0.00047670513911728807	2.62	A	11112447.304196306	1 
57  	38.76283333333146 	-0.44783333333328845   	0.00035173158071364913	4.0 	A	7392297.7052202895	1 
58  	38.72516666666479 	-0.5301666666666136    	0.0013391867872048807 	9.1 	B	29615758.867101658	2 
59  	38.686833333331464	-0.2241666666666442    	0.014769493079140512  	7.7 	B	258230493.03191236	1 
60  	38.57049999999814 	-0.3904999999999609    	0.00301902775957606   	9.15	B	35440153.76844863 	1 
61  	39.02416666666477 	-0.37049999999996297   	0.005525278250603526  	9.31	A	73404530.50954875 	3 
62  	38.94949999999811 	-0.06816666666665985   	0.008865921402854011  	7.62	A	160821356.1583132 	1 
63  	38.825166666664785	0.7898333333332543     	0.0010850934742965637 	2.03	A	11839418.029229151	6 
64  	38.624166666664806	0.15316666666665132    	0.01698412621255877   	7.87	A	272849085.2440886 	5 
65  	38.723166666664795	0.02383333333333093    	8.047274010580135e-05 	7.91	A	1095588.240727296 	1 
66  	38.6921666666648  	-0.13549999999998646   	0.008208482839658882  	9.09	A	73232747.19657029 	2 
67  	38.6631666666648  	0.054499999999994525   	0.00038372545354397686	2.24	B	6217640.5025398275	1 
68  	38.6671666666648  	-0.01549999999999846   	0.0029482195615166936 	5.26	B	46080166.785172366	1 
69  	38.667499999998135	0.22716666666664395    	5.213858834172242e-06 	1.84	A	47878.17525953043 	1 
70  	38.56349999999814 	-0.011499999999998872  	0.0004895153088875845 	7.84	B	11891628.049437713	1 
71  	38.56683333333147 	-0.03749999999999626   	0.0001898180304035301 	5.26	B	7817931.7102509   	1 
72  	38.55716666666481 	-0.02749999999999725   	1.7978858579607709e-06	1.1 	B	70040.07551585694 	1 
73  	38.50216666666482 	0.04183333333332914    	0.00011192748241108161	1.35	A	701797.1412948247 	1 
74  	38.45949999999815 	0.09449999999999051    	0.00016767173305788226	1.11	A	2018783.30607287  	2 
75  	38.45083333333149 	0.04949999999999505    	0.0012802189988675432 	7.79	A	9741821.878157906 	1 
76  	38.43249999999816 	0.15249999999998473    	1.1467347137261933e-05	1.14	A	85702.4583037233  	1 
77  	38.574833333331476	-0.5488333333332784    	0.006729720808649279  	8.24	A	179878093.8675334 	1 
78  	38.587499999998144	0.35649999999996435    	1.088425456465473e-06 	1.11	A	115822.54828862216	1 
79  	38.40316666666482 	-0.10416666666665625   	0.003014918077626666  	7.89	B	85336508.75913863 	1 
80  	38.421499999998154	-0.16816666666664987   	3.1800217382655308e-06	1.12	B	296190.3165265944 	1 
81  	38.40649999999816 	-0.15549999999998446   	0.00040910979716940254	9.81	B	35025924.037877195	1 
82  	38.39816666666483 	-0.015166666666665163  	8.554453417544387e-05 	7.89	B	6517664.227940365 	1 
83  	38.37649999999816 	-0.028499999999997166  	0.000261653724004592  	5.12	B	28431847.230929594	1 
84  	38.383833333331495	-0.14883333333331844   	3.94831831746502e-05  	5.12	B	4823947.186675641 	1 
85  	38.36949999999816 	-0.14949999999998503   	0.00014095885064869938	7.89	B	19053021.078077365	1 
86  	38.3738333333315  	-0.08649999999999136   	9.86079852071619e-05  	7.89	A	1318910.0935589587	1 
87  	38.3398333333315  	-0.012166666666665465  	2.874756634151657e-05 	1.12	B	1073751.4923432202	1 
88  	38.36416666666483 	-0.9224999999999078    	0.00015915857378084246	1.09	B	2053119.5830634385	6 
89  	38.38316666666483 	-0.7558333333332579    	0.0002942417009887883 	8.54	B	1253455.5908166498	1 
90  	38.35216666666483 	-1.030499999999897     	9.278612489550272e-05 	1.08	A	1253076.7293909967	3 
91  	38.3418333333315  	-0.8031666666665864    	6.847047767165427e-05 	1.09	B	555038.2691791628 	4 
92  	38.3258333333315  	-0.7328333333332602    	1.0967658814192314e-06	1.11	A	5067.174657845016 	1 
93  	38.32416666666484 	-0.8164999999999184    	1.7449460581122497e-06	1.08	A	11452.663123728262	1 
94  	38.28349999999817 	0.83283333333325       	0.00011236975678133364	2.54	A	3108525.9478082214	2 
95  	38.23716666666484 	-0.13616666666665306   	0.0017313556128519519 	9.18	B	56150957.42676787 	1 
96  	38.17449999999818 	-0.19649999999998036   	0.0021216276098569415 	9.51	B	76946769.97249974 	1 
